instance_id,user_id,text,politeness,gender,race,age,occupation,education,gpt-5.2 (zero shot prompting),claude-sonnet-4.6 (zero shot prompting),claude-opus-4.6 (zero shot prompting),gemini-3.1-pro (zero shot prompting),claude-haiku-4.5 (zero shot prompting),llama-3-8b (zero shot prompting),mistral-large-2512 (zero shot prompting),gpt-oss-120b (zero shot prompting),gpt-5.2 (few shot),claude-sonnet-4.6 (few shot),claude-opus-4.6 (few shot),gemini-3.1-pro (few shot),claude-haiku-4.5 (few shot),llama-3-8b (few shot),mistral-large-2512 (few shot),gpt-oss-120b (few shot),gpt-5.2 (persona prompt),claude-sonnet-4.6 (persona prompt),claude-opus-4.6 (persona prompt),gemini-3.1-pro (persona prompt),claude-haiku-4.5 (persona prompt),llama-3-8b (persona prompt),mistral-large-2512 (persona prompt),gpt-oss-120b (persona prompt)
3652,0,Do you want me to have him call you even if I don't go out with them?,4.0,Woman,White,25-29,Employed,College degree,4.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0
3274,0,"You are so nice!  Next time you work a day shift, call me and we will go have coffee and I will catch you up on what's been going on in my life (pretty big events!). ",5.0,Woman,White,25-29,Employed,College degree,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0
3458,0,"Lauren, 
Please help with who the appropriate person is to complete and submit w-8 
forms for ENRON INDIA GDR HOLDINGS LTD.
Thanks. Sheila",3.0,Woman,White,25-29,Employed,College degree,4.0,4.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0
601,0,"Tana, I regret to inform you that the following CPs are restricted by credit:

- River Trading Company, LLC

- Gerald Metals Inc.

Thus, they are not authorized to trade US power.

Let me know if you have any questions or concerns. Best regards, Leslie.",5.0,Woman,White,25-29,Employed,College degree,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0
1577,0,Your killing me.  Lavo.  I'm going to start calling you Delainey.,2.0,Woman,White,25-29,Employed,College degree,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,3.0,2.0
2989,0,Haha yes I saw that earlier and almost sent it your way. Very funny. I actually dressed up like that one year for halloween. Thanks.,3.0,Woman,White,25-29,Employed,College degree,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0
1933,0,"Dear X,



I may have mentioned this (sorry, too much going on!) but they both did agree to sign. Jeff A. contacted Masha yesterday and took her by surprise. Apparently, he wanted to know if he was the target and advised her not to visit with him.



Sincerely,

Y",4.0,Woman,White,25-29,Employed,College degree,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0
3681,0,"vegas baby!  i spoke with jacques the other night.  he is going to leave a 
message with me at the desk.  so i will leave one there with you.  we are at 
harrah's accross from ceasars and mirage.  better have your game face on dog.",2.0,Woman,White,25-29,Employed,College degree,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0
1658,0,"Have they come by yet?  
Love you
The Pigs",2.0,Woman,White,25-29,Employed,College degree,3.0,2.0,3.0,4.0,4.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0
2389,0,I wanted to let you know that I really missed you and the humorous remarks you often make. I am truly happy that you have returned.,3.0,Woman,White,25-29,Employed,College degree,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0
1352,0,"Hello,



We are writing to confirm that we have received an executed financial master agreement relating to the following: 



Type of Contract: ISDA Master Agreement (Multicurrency-Cross Border)

Effective Date: May 17, 2001

Enron Entity: Enron North America Corp.

Counterparty: FirstEnergy Services Corp.

Transactions Covered: Approved for all products with the exception of:

Foreign Exchange

Confirming Entity: Enron North America Corp.

Governing Law: New York



Copies will be distributed.



Thank you,

Stephanie Panus",3.0,Woman,White,25-29,Employed,College degree,5.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
1295,0,"I'm sorry I'm late to respond, but here's what I've got:

1. AAA has proven themselves worthy in the past. I'm not sure how good ASP is.

2. A neutral forum would be more favorable to us. I don't want to run the risk of losing out because we're fighting this case somewhere that we aren't liked.

3. We don't usually pay the attorney fees on losing cases.",4.0,Woman,White,25-29,Employed,College degree,4.0,3.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0
404,0,The Ristrac DB is not currently set up for NETCO and Jeff asked that we have it done by Friday. We will need to escalate things to other stakeholders to ensure we are able to successfully complete this by the deadline.,4.0,Woman,White,25-29,Employed,College degree,3.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0
1242,0,"I'm so glad your dad had is surgery. Having 5 things clogged up is scary! The surgery probably saved his life! So glad to hear that he is doing well and headed home already. Let me know if you need anything!

Kay",5.0,Woman,White,25-29,Employed,College degree,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0
2801,0,I received your memo-sound like all we need is a high speed internet connection and that is it.,2.0,Woman,White,25-29,Employed,College degree,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0
2465,0,"Justin:
The mention of Statoil made me think of Norway.  Alliance doesn't sound like 
a Norwegian entity so it's probably not an issue here, but do you think we 
should discourage large volume and long term multiple trades with Norwegian 
entities given our continuing uncertainty over netting there?
Mark
Justin Boyd
04/08/99 09:27 AM",4.0,Woman,White,25-29,Employed,College degree,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0
2067,0,"I wish she could come and visit me for Thanksgiving. I've got 6 days off right around then and I think it would be good for her to take a break and get away for a little while.



Did I mention to you that I had a couple of dates while I was in LA? We really hit it off and I've asked her to come visit for a weekend sometime in December.",4.0,Woman,White,25-29,Employed,College degree,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0
2532,0,What you had a birthday without telling me about the party!  What did you do?  What are you guys doing for Halloween?,3.0,Woman,White,25-29,Employed,College degree,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,2.0,2.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0
2623,0,I love it when you call me honey pie - seeyoutonight,2.0,Woman,White,25-29,Employed,College degree,1.0,1.0,3.0,1.0,2.0,1.0,2.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0
3318,0,"JUST A REMINDER - DON'T FORGET TO BRING  YOUR DESSERT GOODIES ON WHATEVER 
DAY YOU SIGNED UP FOR!!
THANK YOU!
RENEE
X-34866!",3.0,Woman,White,25-29,Employed,College degree,2.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0
165,0,"Hello,



I wanted to reach out regarding a printer I ordered from Enron. I ordered a computer and a printer but only received a confirmation for the computer. Could you please check on the order status of the printer for me? My order number is 507208940. Thank you!",5.0,Woman,White,25-29,Employed,College degree,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0
894,0,"Hi Rick, just wanted to let you know that there's been a slight change in my schedule. I'll be in the office until Wednesday, so let me know if that works for you. If not, we can plan to continue our discussions next week. Have a great holiday, and I look forward to hearing from you soon. Best regards, Clark.",5.0,Woman,White,25-29,Employed,College degree,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0
302,0,"Jeff,
Yes, Rick received your tuition reimbursement form, signed it, and I forwarded it for payment.  I'm not sure how long it takes for payment, so let me know if I need to research the whereabouts of your reimbursement.
Have a great holiday!!!",5.0,Woman,White,25-29,Employed,College degree,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0
2502,0,Just need your OK. I will send it for signature when you're done.  Sager,4.0,Woman,White,25-29,Employed,College degree,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0
1154,0,Evidently we do have to pay for the account. I was worried how much it would cost.,3.0,Woman,White,25-29,Employed,College degree,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
1449,0,"John

Your interpretation is correct based on my understanding. You may want to

call Dennis to just check in. Dennis did say that he would include Enron in

any bid packages prepared.

Thank you for your attention to this matter.",5.0,Woman,White,25-29,Employed,College degree,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
1952,0,"right, but he's in the gossip circle pretty deep",2.0,Woman,White,25-29,Employed,College degree,2.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0,3.0,2.0
1270,0,This one very expensive. Are we sure there's no other cheaper price than this?,2.0,Woman,White,25-29,Employed,College degree,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0
3399,0,I don't feel that you're being very nice. I'd like to get along today.,3.0,Woman,White,25-29,Employed,College degree,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,2.0,4.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0
2263,0,"I haven't checked my home voicemail, since I am still in DC. Would you be able to do a phone call now instead?

Jim",4.0,Woman,White,25-29,Employed,College degree,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0
1722,0,"Chad, do you even know what is coming out of your mouth?  When did you become 
such a football expert?  I recall Blanchard and the boys having to teach you 
about the game.",2.0,Woman,White,25-29,Employed,College degree,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0
1060,0,"Louis, I, for now, have requested wholesale basis positions(price equivalent) be keep out of the price report. Further I have requested a seperate basis report that will show similiar information contained in the price report. I would like to look at basis correlations before including them in fixed price.",3.0,Woman,White,25-29,Employed,College degree,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,2.0
2292,0,"It is probanly too late to respond-- but her goes:
1. We like AAA. I don't know how good ASP is.
2. I' d like a more neutral forum. The question to ask yourself--are we going 
to get ""hometowned""
3. We do't usually provide for ""loser pays"" on attorneys fees",1.0,Woman,White,25-29,Employed,College degree,2.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0
2094,0,do i have to buy you a donkey for your commute from pakistan,1.0,Woman,White,25-29,Employed,College degree,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0
1778,0,"Good Morning, Janine,

I have still not heard from Kerry. Translink is moving forward. Are you able to put this on the agenda for today?

All the best,

Jim",5.0,Woman,White,25-29,Employed,College degree,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0
3095,0,Could you please make five copies of this report for the upcoming meeting? Thank you and I really appreciate it!,5.0,Woman,White,25-29,Employed,College degree,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0
1466,0,"Since Randy is soooo busy and  can't
send out an email on  a trade he made, 
I'll have to do it  for him.
 
He drops WR Pathon and adds TE  Pollard.
 
PS Did anyone notice how I kicked the  hell
out of the Drunk Monkeys this weekend?
 
DeWayne (you Aggie redneck), you're
next.",2.0,Woman,White,25-29,Employed,College degree,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0
572,0,"Sara,
Sorry, I wasn't trying to be unreasonable - where I put down dates in the 
past it was because I thought they had been done.
We have found a way of paying intermediate margin, so the only deadline now 
is the end of the month. Can you advise what is reasonably doable by when.
Yes, London will prepare confirmations for ECI.
We will therefore need a services agreement between ECI and Enron Credit Ltd.
This is at the bottom of the list.
Sheila, 
Did the idea of getting a guarantee from Bear ever lead to anything?
Thanks,
Richard",5.0,Woman,White,25-29,Employed,College degree,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0
1990,0,"Your just a little jokester today - What do you mean ""try and fit me in your 
schedule""     I will be there - and you will make the time for me -Because 
you have NO OTHER CLIENTS!!!!
thanks for the laughs
i love you",1.0,Woman,White,25-29,Employed,College degree,2.0,2.0,2.0,1.0,2.0,2.0,2.0,,3.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0
570,0,"Hello,

Please let me know if there are any revisions being made to the group Calendar.

Thanks so much!

TM",5.0,Woman,White,25-29,Employed,College degree,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0
3600,1,"Congrats on keeping your turf. I hope this question doesn't offend you, but would you trade it for an $80 ENE price? Thanks.

Paul",5.0,Man,White,40-44,Other,High school diploma or equivalent,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,3.0,2.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0
2632,1,"--
Subject: Cute story
Anyone who's been single and over the age of 18 can relate to this.
When I was younger I hated going to weddings ...it seemed that all of my
aunts and the grandmotherly types used to come up to me, poking me in the
ribs and cackling, telling me, 'You're next.'
? They stopped that crap after
I started doing the same thing to them at funerals.",3.0,Man,White,40-44,Other,High school diploma or equivalent,2.0,3.0,3.0,2.0,3.0,2.0,3.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0
3049,1,"Scotty,
I want to talk with you about the position you have open.  Please let me know when you may be available to talk.
Thanks!",5.0,Man,White,40-44,Other,High school diploma or equivalent,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
763,1,Libby Rutherford would appreciate a short explanation from you regarding the cross-default threshold. She wants to understand which financials we were reviewing. Our latest draft provides all parties with $100 million. Libby's e-mail address is: rutherford@pg.com,3.0,Man,White,40-44,Other,High school diploma or equivalent,4.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0
1742,1,"Hello Lucy, 

The basis in Canada is quoted in USD, so the normal convention is to quote the fixed price in CAD. I can get Ian Cooke to send you the historical basis for AECO (in USD). If you need a currency curve to work the numbers back into Canadian dollars we can do that as well. Please let me know if you need anything else.

Jon

",5.0,Man,White,40-44,Other,High school diploma or equivalent,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
3493,1,"What is going on with your changing currency?  Have you sold your place yet?
How is the gas market?
>",3.0,Man,White,40-44,Other,High school diploma or equivalent,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0
339,1,I'll be staying at the pool this weekend while you're moving in. ,3.0,Man,White,40-44,Other,High school diploma or equivalent,2.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0
957,1,"Opps.  We do have to pay for the account.  I was afraid we were going to send 
the big hunk of dough!",3.0,Man,White,40-44,Other,High school diploma or equivalent,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
1420,1,I will be out of the office tomorrow.  Please handle all issues as needed.  Thank you,4.0,Man,White,40-44,Other,High school diploma or equivalent,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0
1507,1,"If you come into work on Mondays feeling hungover, it may raise concerns among the management team at EBS. It's important to make sure we're all able to perform our best during work hours. Taking care of ourselves and being mindful of our professional responsibilities is key. Let's strive to be at our best in the workplace.",5.0,Man,White,40-44,Other,High school diploma or equivalent,3.0,3.0,3.0,4.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0
1915,1,They will be worried about you if you come to work hungover ,3.0,Man,White,40-44,Other,High school diploma or equivalent,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0
2467,1,"I don't even know what they're doing to this area!  Maybe this is for new 
offices.  SS",3.0,Man,White,40-44,Other,High school diploma or equivalent,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0
411,1,"Did I send you this already?  I hope not because I know how much you hate
getting junk on the internet.
Your darling sister who was never the future miss america,
Deb
>",3.0,Man,White,40-44,Other,High school diploma or equivalent,4.0,4.0,4.0,4.0,2.0,2.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,1.0,3.0,4.0,3.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0
1325,1,"well you are gonna have to work out for 2 hours a day.  i want you to stay in 
top shape.  you can be my trophy wife.  are you really moving to austin soon?",2.0,Man,White,40-44,Other,High school diploma or equivalent,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0
34,1,"Errol, 

I will be running errands for a bit. If you need to reach me I'll have my cell phone handy.

Brad",3.0,Man,White,40-44,Other,High school diploma or equivalent,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0
1572,1,You are Jack Frost the Amazing.  I am glad I get to work with you.,5.0,Man,White,40-44,Other,High school diploma or equivalent,5.0,4.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0
2412,1,I feel the need to express that you are really just wasting your money by competing with me on a nice course.  What you really need to improve is lessons.,2.0,Man,White,40-44,Other,High school diploma or equivalent,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0
854,1,"Hi Jen,



I got your message. Thanks for the heads up.",5.0,Man,White,40-44,Other,High school diploma or equivalent,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0
502,1,I'm in an awful conference call. Can I fax for your review?,3.0,Man,White,40-44,Other,High school diploma or equivalent,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0
2620,1,Please find attached our latest estimate of November earnings.,3.0,Man,White,40-44,Other,High school diploma or equivalent,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0
1285,1,"Hey, this video is funny. These guys are acting like they have never seen something like that before.",3.0,Man,White,40-44,Other,High school diploma or equivalent,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0
